Make,Manufacturer Name,Model,Model Year,Plant City,Vehicle Type,Plant Country,Plant State,Body Class,Gross Vehicle Weight Rating From,Cab Type,Trailer Type Connection,Trailer Body Type,Drive Type,Brake System Type,Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Engine Power (kW),Fuel Type - Primary,Valve Train Design,Engine Configuration,Engine Brake (hp) From,Engine Brake (hp) To,Other Engine Info,Engine Manufacturer,Seat Belt Type,Front Air Bag Locations,NCSA Body Type,NCSA Make,NCSA Model,Bus Floor Configuration Type,Bus Type,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,
FORD,"FORD MOTOR COMPANY, USA",F-150,2001,NORFOLK,TRUCK ,UNITED STATES (USA),VIRGINIA,Pickup,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Regular,Not Applicable,Not Applicable,4x2,Hydraulic,8,4600,280.7092228,4.6,141.683,Gasoline,Single Overhead Cam (SOHC),V-Shaped,190,210,EFI  Romeo Engine Plant,Ford,Manual,1st Row (Driver and Passenger),Light Pickup,Ford,F-Series pickup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
SUBARU,"FUJI HEAVY INDUSTRIES U.S.A., INC. (C/O SUBARU OF AMERICA)",B9 Tribeca,2006,LAFAYETTE,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),INDIANA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Not Applicable,Not Applicable,AWD/All-Wheel Drive,,,3000,183.0712323,3,,,,,,,,,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Subaru,B9 Tribeca,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
JAGUAR,JAGUAR LAND ROVER LIMITED,XJ,2015,CASTLE BROMWICH,PASSENGER CAR,UNITED KINGDOM (UK),,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,RWD/Rear-Wheel Drive,,6,3000,183.0712323,3,,Flexible Fuel Vehicle (FFV),,V-Shaped,,,,,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Jaguar,XJ/XJL/XJ6/12/XJR/XJ8/  XJ8L Sedan/Coupe,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
TOYOTA,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Camry,2020,,PASSENGER CAR,UNITED STATES (USA),KENTUCKY,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,4x2,,4,2487,152,2.5,151.3771,Gasoline,Dual Overhead Cam (DOHC),In-Line,203,,PORT+DIRECT,Toyota,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Toyota,Camry,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
GMC,GENERAL MOTORS LLC,Acadia,2014,LANSING - DELTA TOWNSHIP,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),MICHIGAN,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,Not Applicable,Not Applicable,AWD/All-Wheel Drive,Hydraulic,6,3600,219.6854787,3.6,,Gasoline,Dual Overhead Cam (DOHC),V-Shaped,,,,GM,Manual,1st Row (Driver and Passenger),Large utility (ANSI D16.1 Utility Vehicle Categories and "Full Size" and "Large"),GMC,Acadia (2013 on. For 2007-2012 see model 008.),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
FORD,"FORD MOTOR COMPANY, MEXICO",Fiesta,2016,CUAUTITLAN,PASSENGER CAR,MEXICO,,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,,,4,1600,97.63799055,1.6,146.9029,Flexible Fuel Vehicle (FFV),,In-Line,197,,,Ford,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Ford,Fiesta,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
HONDA,"HONDA MOTOR CO., LTD",CR-V,2004,SAYAMA,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,SAITAMA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,4,2359.737216,144,2.359737216,119.312,Gasoline,Dual Overhead Cam (DOHC),In-Line,160,,,,Manual,1st Row (Driver and Passenger),Compact Utility (Utility Vehicle Categories "Small" and "Midsize"),Honda,CR-V,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
FORD,"FORD MOTOR COMPANY, USA",F-150,2018,KANSAS CITY,TRUCK ,UNITED STATES (USA),MISSOURI,Pickup,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Crew/ Super Crew/ Crew Max,Not Applicable,Not Applicable,4x2,Hydraulic,6,3300,201.3783555,3.3,216.253,Gasoline,,V-Shaped,290,,,Ford,Manual,1st Row (Driver and Passenger),Light Pickup,Ford,F-Series pickup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
CHEVROLET,GENERAL MOTORS LLC,Cavalier,1996,LORDSTOWN,PASSENGER CAR,UNITED STATES (USA),OHIO,Sedan/Saloon,,Not Applicable,Not Applicable,Not Applicable,,,4,2200,133.6,2.2,,Gasoline,,In-Line,,,"Name Plate: Chev, Pont",LAN,Manual,1st Row (Driver and Passenger),"4-door sedan, hardtop",Chevrolet,Cavalier,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
FORD,"FORD MOTOR COMPANY, USA",F-150,2018,KANSAS CITY,TRUCK ,UNITED STATES (USA),MISSOURI,Pickup,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Crew/ Super Crew/ Crew Max,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,6,2700,164.7641091,2.7,242.3525,Gasoline,,V-Shaped,325,,,Ford,Manual,1st Row (Driver and Passenger),Light Pickup,Ford,F-Series pickup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
TOYOTA,"TOYOTA MOTOR MANUFACTURING, INDIANA, INC.",Sienna,2004,,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),INDIANA,Minivan,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,Not Applicable,Not Applicable,4x2,,6,3300,201.3783555,3.3,198.3562,Gasoline,,V-Shaped,266,,,,,,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",Toyota,Sienna,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
GMC,GENERAL MOTORS LLC,Sierra,2002,OSHAWA TRUCK,TRUCK ,CANADA,ONTARIO,Pickup,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Extra/Super/ Quad/Double/King/Extended,Not Applicable,Not Applicable,4x2,Hydraulic,8,4800,292.9139717,4.8,,Gasoline,,V-Shaped,,,Iron,,,,Light Pickup,GMC,"C, K, R, V-series pickup/     Sierra",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
